"date","CPILFESL","UNRATE","Inflation","d_I","d_UNEMP","d_I_1","d_UNEMP_1","d_UNEMP_2","d_UNEMP_3","d_UNEMP_4"
1993-07-01,152.3,6.9,3.13463477347442,-0.207922392311044,-0.0999999999999996,-0.00671771232596541,-0.0999999999999996,0,0.0999999999999996,-0.0999999999999996
1993-08-01,152.8,6.8,3.25935070156662,0.124715928092201,-0.100000000000001,-0.207922392311044,-0.0999999999999996,-0.0999999999999996,0,0.0999999999999996
1993-09-01,152.9,6.7,3.18963916612631,-0.0697115354403088,-0.0999999999999996,0.124715928092201,-0.100000000000001,-0.0999999999999996,-0.0999999999999996,0
1993-10-01,153.4,6.8,3.04457665341635,-0.145062512709959,0.0999999999999996,-0.0697115354403088,-0.0999999999999996,-0.100000000000001,-0.0999999999999996,-0.0999999999999996
1993-11-01,153.9,6.6,3.10153530751727,0.0569586541009137,-0.2,-0.145062512709959,0.0999999999999996,-0.0999999999999996,-0.100000000000001,-0.0999999999999996
1993-12-01,154.3,6.5,3.09336938287377,-0.00816592464349952,-0.0999999999999996,0.0569586541009137,-0.2,0.0999999999999996,-0.0999999999999996,-0.100000000000001
1994-01-01,154.5,6.6,2.88923576983846,-0.204133613035307,0.0999999999999996,-0.00816592464349952,-0.0999999999999996,-0.2,0.0999999999999996,-0.0999999999999996
1994-02-01,154.8,6.6,2.75066457898339,-0.138571190855075,0,-0.204133613035307,0.0999999999999996,-0.0999999999999996,-0.2,0.0999999999999996
1994-03-01,155.3,6.5,2.94042745807861,0.189762879095223,-0.0999999999999996,-0.138571190855075,0,0.0999999999999996,-0.0999999999999996,-0.2
1994-04-01,155.5,6.4,2.67203906159397,-0.268388396484642,-0.0999999999999996,0.189762879095223,-0.0999999999999996,0,0.0999999999999996,-0.0999999999999996
1994-05-01,155.9,6.1,2.66509111022009,-0.00694795137388127,-0.300000000000001,-0.268388396484642,-0.0999999999999996,-0.0999999999999996,0,0.0999999999999996
1994-06-01,156.4,6.1,2.7878628845964,0.122771774376318,0,-0.00694795137388127,-0.300000000000001,-0.0999999999999996,-0.0999999999999996,0
1994-07-01,156.7,6.1,2.84808894608588,0.0602260614894767,0,0.122771774376318,0,-0.300000000000001,-0.0999999999999996,-0.0999999999999996
1994-08-01,157.1,6,2.77526685291551,-0.072822093170366,-0.0999999999999996,0.0602260614894767,0,0,-0.300000000000001,-0.0999999999999996
1994-09-01,157.5,5.9,2.96413453306714,0.188867680151628,-0.0999999999999996,-0.072822093170366,-0.0999999999999996,0,0,-0.300000000000001
1994-10-01,157.8,5.8,2.82795194786187,-0.136182585205269,-0.100000000000001,0.188867680151628,-0.0999999999999996,-0.0999999999999996,0,0
1994-11-01,158.2,5.6,2.75570144887203,-0.0722504989898454,-0.2,-0.136182585205269,-0.100000000000001,-0.0999999999999996,-0.0999999999999996,0
1994-12-01,158.3,5.5,2.55932075178515,-0.196380697086873,-0.0999999999999996,-0.0722504989898454,-0.2,-0.100000000000001,-0.0999999999999996,-0.0999999999999996
1995-01-01,159,5.6,2.87101058824311,0.311689836457951,0.0999999999999996,-0.196380697086873,-0.0999999999999996,-0.2,-0.100000000000001,-0.0999999999999996
1995-02-01,159.4,5.4,2.92828052004879,0.0572699318056813,-0.199999999999999,0.311689836457951,0.0999999999999996,-0.0999999999999996,-0.2,-0.100000000000001
1995-03-01,159.9,5.4,2.91898896852665,-0.00929155152213923,0,0.0572699318056813,-0.199999999999999,0.0999999999999996,-0.0999999999999996,-0.2
1995-04-01,160.4,5.8,3.10249638131257,0.183507412785922,0.399999999999999,-0.00929155152213923,0,-0.199999999999999,0.0999999999999996,-0.0999999999999996
1995-05-01,160.7,5.6,3.03244966797358,-0.0700467133389893,-0.2,0.183507412785922,0.399999999999999,0,-0.199999999999999,0.0999999999999996
1995-06-01,161.1,5.6,2.96084620717183,-0.0716034608017502,0,-0.0700467133389893,-0.2,0.399999999999999,0,-0.199999999999999
1995-07-01,161.4,5.7,2.95526064738736,-0.00558555978447117,0.100000000000001,-0.0716034608017502,0,-0.2,0.399999999999999,0
1995-08-01,161.8,5.7,2.94784593628163,-0.00741471110572434,0,-0.00558555978447117,0.100000000000001,0,-0.2,0.399999999999999
1995-09-01,162.2,5.6,2.9404683415625,-0.0073775947191379,-0.100000000000001,-0.00741471110572434,0,0.100000000000001,0,-0.2
1995-10-01,162.7,5.5,3.05796058132177,0.117492239759276,-0.0999999999999996,-0.0073775947191379,-0.100000000000001,0,0.100000000000001,0
1995-11-01,163,5.6,2.98901454732086,-0.0689460340009163,0.0999999999999996,0.117492239759276,-0.0999999999999996,-0.100000000000001,0,0.100000000000001
1995-12-01,163.1,5.6,2.98715427400014,-0.00186027332071959,0,-0.0689460340009163,0.0999999999999996,-0.0999999999999996,-0.100000000000001,0
